"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0A9C0","2020-03-13 00:00:00","35.000","249.000","1.000","20.000","0.920","1012.900","","1.500","-99.000","-99.000","-99.000","22.900","","18.200",""
"C0C630","2020-03-13 00:00:00","209.000","209.000","1.800","17.700","0.940","992.900","","1.500","-99.000","-99.000","-99.000","21.400","","15.800",""
"C0D550","2020-03-13 00:00:00","1956.000","153.000","0.800","12.400","0.900","813.100","","2.500","-99.000","-99.000","-99.000","14.200","","9.400",""
"C0T9E0","2020-03-13 00:00:00","415.000","231.000","1.800","20.500","0.850","969.200","","0.000","-99.000","-99.000","-99.000","20.500","","13.800",""
"C0U960","2020-03-13 00:00:00","1885.000","2.000","2.600","9.100","0.990","816.500","","0.000","-99.000","-99.000","-99.000","14.200","","5.900",""
"C0AI30","2020-03-13 00:00:00","26.000","265.000","0.900","20.300","0.940","1014.500","","0.500","-99.000","-99.000","-99.000","22.500","","18.100",""
"C0R240","2020-03-13 00:00:00","87.000","20.000","0.500","21.800","0.900","1005.600","","0.000","-99.000","-99.000","-99.000","31.200","","17.300",""
"C0AD30","2020-03-13 00:00:00","20.000","225.000","0.700","20.200","0.870","1012.200","","1.000","-99.000","-99.000","-99.000","22.500","","18.500",""
"C0D430","2020-03-13 00:00:00","87.000","0.000","0.000","18.400","0.990","1006.200","","0.500","-99.000","-99.000","-99.000","19.200","","15.200",""
"C0X210","2020-03-13 00:00:00","38.000","4.000","0.800","21.300","0.910","1010.300","","0.000","-99.000","-99.000","-99.000","28.500","","18.000",""
"C0A660","2020-03-13 00:00:00","97.000","0.000","0.200","18.500","0.920","1005.000","","1.500","-99.000","-99.000","-99.000","22.200","","16.400",""
"C0R680","2020-03-13 00:00:00","13.000","332.000","1.100","23.600","0.930","1014.900","","0.000","-99.000","-99.000","-99.000","25.800","","19.500",""
"C0O840","2020-03-13 00:00:00","134.000","0.000","0.100","23.200","0.880","999.000","","0.000","-99.000","-99.000","-99.000","28.500","","17.500",""
"C0R530","2020-03-13 00:00:00","16.000","6.000","1.900","24.800","0.740","1014.100","","0.000","-99.000","-99.000","-99.000","26.800","","19.200",""
"C0G870","2020-03-13 00:00:00","12.000","28.000","1.900","20.700","0.840","1016.200","","0.000","-99.000","-99.000","-99.000","21.700","","18.500",""
"C0M820","2020-03-13 00:00:00","980.000","73.000","1.300","17.700","0.830","909.400","","0.000","-99.000","-99.000","-99.000","22.800","","14.600",""
"C0F9S0","2020-03-13 00:00:00","43.000","5.000","0.900","21.200","0.800","1012.000","","0.000","-99.000","-99.000","-99.000","23.500","","19.300",""
"C0R160","2020-03-13 00:00:00","45.000","355.000","0.300","23.400","0.990","1010.400","","0.000","-99.000","-99.000","-99.000","29.200","","18.500",""
"C0A950","2020-03-13 00:00:00","60.000","274.000","8.100","19.900","0.900","1009.500","","4.000","-99.000","-99.000","-99.000","20.300","","16.700",""
